券商名稱,買進張數,賣出張數,差額
AS9946三發地產,574,0,574
00637L元大滬深300正2,309,0,309
AS2883開發金,195,22,173
AS0056元大高股息,154,4,150
AS2006東和鋼鐵,103,8,95
AS2884玉山金,101,30,71
AS2888新光金,92,26,66
00633L富邦上証正2,50,0,50
00643群益深証中小,50,0,50
AS4123晟德,90,41,49
AS2371大同,58,10,48
AS4726永昕,47,0,47
00852L國泰美國道瓊正2,38,0,38
AS1325恆大,60,22,38
AS6492生華科,31,0,31
AS5410國眾,30,0,30
AS6233旺玖,23,0,23
AS6251定穎,25,3,22
AS3703欣陸,21,0,21
AS5321友銓,21,0,21
AS1409新纖,21,1,20
AS1611中電,22,2,20
AS2605新興,64,44,20
AS3092鴻碩,32,12,20
AS8085福華,25,5,20
AS9105泰金寶-DR,20,0,20
AS1210大成,19,3,16
AS3260威剛,21,5,16
AS1802台玻,15,0,15
AS2636台驊投控,34,21,13
AS8069元太,13,0,13
AS1326台化,12,0,12
AS3044健鼎,14,2,12
AS6163華電網,12,0,12
AS2313華通,11,0,11
AS2881富邦金,25,14,11
AS3006晶豪科,16,5,11
AS3711日月光投控,16,5,11
AS1101台泥,10,0,10
AS2880華南金,10,0,10
AS1612宏泰,10,0,10
AS1722台肥,10,0,10
AS2809京城銀,10,0,10
AS3032偉訓,10,0,10
AS5009榮剛,10,0,10
AS1909榮成,12,3,9
AS4416三圓,9,0,9
AS6152百一,10,1,9
00642U期元大S＆P石油,8,0,8
AS3026禾伸堂,8,0,8
AS2303聯電,64,230,-166
00677U期富邦VIX,6,160,-154
AS2609陽明,206,348,-142
AS2610華航,453,572,-119
00632R元大台灣50反1,2,100,-98
AS1718中纖,7,100,-93
AS2603長榮,199,286,-87
AS2601益航,0,81,-81
AS2618長榮航,16,97,-81
AS1314中石化,4,84,-80
AS6116彩晶,0,70,-70
AS2337旺宏,25,91,-66
AS2317鴻海,6,65,-59
00715L期街口布蘭特正2,28,86,-58
AS2408南亞科,11,68,-57
AS6237驊訊,30,84,-54
AS8435鉅邁,0,52,-52
AS3037欣興,17,58,-41
AS1108幸福,0,40,-40
AS3481群創,313,352,-39
AS2882國泰金,10,47,-37
AS9945潤泰新,5,41,-36
AS3576聯合再生,147,178,-31
AS4934太極,0,29,-29
AS6109亞元,0,29,-29
AS2327國巨,1,30,-29
AS1309台達化,30,58,-28
AS3630新鉅科,6,33,-27
AS2330台積電,9,34,-25
AS6005群益證,0,25,-25
AS6016康和證,5,30,-25
AS1305華夏,33,54,-21
AS1604聲寶,0,20,-20
AS2457飛宏,0,20,-20
AS6456GIS-KY,0,20,-20
AS2376技嘉,4,23,-19
AS9942茂順,1,20,-19
AS1102亞泥,0,18,-18
00738U期元大道瓊白銀,0,18,-18
AS3105穩懋,2,17,-15
00708L期元大S＆P黃金正2,0,15,-15
AS2823中壽,0,15,-15
AS3707漢磊,3,18,-15
AS8163達方,1,16,-15
AS3231緯創,0,14,-14
AS2515中工,0,14,-14
AS2886兆豐金,2,16,-14
AS1308亞聚,2,15,-13
AS2890永豐金,0,12,-12
AS2027大成鋼,0,12,-12
