Index,Number,Name,BSSum,BuySum,SellSum,Price
1,1160,日盛,200,217,16,462.25
2,1650,新加坡商瑞銀,146,156,10,458.95
3,1560,港商野村,92,162,70,454.99
4,5857,統一-新竹,69,75,5,453.47
5,918i,群益金鼎-竹南,58,61,3,462.44
6,1590,花旗環球,41,57,16,461.9
7,989f,元大-東港,40,40,,460.54
8,9852,元大-永春,32,36,4,451.3
9,9268,凱基-台北,31,243,212,455.63
10,779m,國票-中港,31,32,1,462.59
11,1030,土銀,29,29,,473.93
12,8560,新光,26,60,33,458.22
13,9874,元大-雙和,25,33,7,472.08
14,9651,富邦-民生,25,35,10,454.07
15,9A9d,永豐金-古亭,25,25,,467.88
1,1520,瑞士信貸,-270,74,344,463.51
2,9800,元大,-233,14,247,464.27
3,1470,台灣摩根士丹利,-194,79,273,458.06
4,1440,美林,-128,126,254,461.24
5,9216,凱基-信義,-100,2,102,445.63
6,5850,統一,-91,9,101,465.21
7,1043,臺銀-民權,-49,17,67,462.84
8,9A99,永豐金-中壢,-46,1,47,464.62
9,918g,群益金鼎-大甲,-39,2,42,459.72
10,6160,中國信託,-31,8,40,470.71
11,1233,彰銀-台中,-31,,31,460.81
12,9103,群益金鼎-松山,-31,,31,461.84
13,9206,凱基-高雄,-29,2,32,460.16
14,9211,凱基-台南,-29,14,43,461.3
15,9A9X,永豐金-竹科,-28,27,56,451.19
